,0,1,2,3,4,5,6
79,1412,CompScience,http://www.compscience.com,N,compsciencelab/repositories/0,22,N
80,1442,Viaduct,http://www.viaduct.ai,N,viaduct-ai/repositories/0,22,Y
81,1824,Grid.ai,https://www.grid.ai/,N,gridai/repositories/0,22,N
82,1374,Faros AI,https://www.faros.ai/,N,faros-ai/repositories/0,21,Y
83,1654,AICG,http://aicg.com,N,aicglabs/repositories/0,21,N
84,1272,NoviSystems Inc.,https://www.novi.systems,N,NoviSystems//repositories/0,20,N
85,1336,Baseten,https://www.baseten.co/,N,basetenlabs/repositories/0,20,N
86,157,Sisu,https://sisudata.com,N,sisudata/repositories/0,19,N
87,447,AutonomIQ,http://www.autonomiq.io,N,Autonomiq/repositories/0,19,N
88,762,9to5,http://www.9to5.ai,N,9to5/repositories/0,19,N
89,821,Lum AI,https://lum.ai,N,lum-ai/repositories/0,19,Y
90,385,DiscreetAI,https://www.discreetai.com/,N,DiscreetAI/repositories/0,18,N
91,764,RSquared AI,https://www.rsquared.ai/,N,rsquaredacademy//repositories/0,18,N
92,1665,MaiVERIC,https://maiveric.com,N,maiveric//repositories/0,18,N
93,1812,Pumas-AI,https://pumas.ai/,N,PumasAI/repositories/0,18,Y
94,2408,Semiotic AI,https://www.semiotic.ai/,N,semiotic-ai//repositories/0,18,N
95,2467,Nile AI,https://www.nile.ai,N,nileorg/repositories/0,18,N
96,2500,Spyn,http://www.spyn.ai/,N,spynai/repositories/0,18,N
97,147,Somatic,http://getsomatic.com,N,getsomatic//repositories/0,17,Y
98,717,SmartAssist,https://smartassist.io/,N,smartassistco/repositories/0,17,N
99,1237,Chainterra,https://www.chainterra.com/,N,ChainTerra/repositories/0,17,Y
100,1335,Horizon3.ai,https://www.horizon3.ai,N,horizon3ai//repositories/0,17,N
101,1379,Segmed,https://www.segmed.ai,N,segmed/repositories/0,17,Y
102,1419,Launchable,https://www.launchableinc.com/,N,launchableinc/repositories/0,17,N
103,1459,Sturdy,https://www.sturdy.ai,N,sturdy-dev/repositories/0,17,N
104,2167,ICOG,https://www.icog.ai/,N,iCogLabs/repositories/0,17,N
