89,9to5,http://www.9to5.ai,N,9to5,19,N
90,Lum AI,https://lum.ai,N,lum-ai,19,Y
91,DiscreetAI,https://www.discreetai.com/,N,DiscreetAI,18,N
92,RSquared AI,https://www.rsquared.ai/,N,rsquaredacademy,18,N
93,MaiVERIC,https://maiveric.com,N,maiveric,18,N
94,Pumas-AI,https://pumas.ai/,N,PumasAI,18,Y
95,Semiotic AI,https://www.semiotic.ai/,N,semiotic-ai,18,N
96,Nile AI,https://www.nile.ai,N,nileorg,18,N
97,Spyn,http://www.spyn.ai/,N,spynai,18,N
98,Somatic,http://getsomatic.com,N,getsomatic,17,Y
99,SmartAssist,https://smartassist.io/,N,smartassistco,17,N
100,Chainterra,https://www.chainterra.com/,N,ChainTerra,17,Y
101,Horizon3.ai,https://www.horizon3.ai,N,horizon3ai,17,N
102,Segmed,https://www.segmed.ai,N,segmed,17,Y
103,Launchable,https://www.launchableinc.com/,N,launchableinc,17,N
104,Sturdy,https://www.sturdy.ai,N,sturdy-dev,17,N
105,ICOG,https://www.icog.ai/,N,iCogLabs,17,N
106,Crypto Bank,https://www.crypto-bank.io/,N,crypto-bank,17,N
107,Nightfall AI,https://www.nightfall.ai,N,nightfallai,16,Y
108,Butter Works,http://butter.works,N,butterproject,16,N
109,Synthesis AI,http://synthesis.ai/,N,Synthesis-AI-Dev,16,Y
110,Everguard.ai,https://www.everguard.ai/,N,everguard-inc,16,N
111,Knowt,https://knowt.io,N,Knowt,16,N
112,Tarteel,https://tarteel.ai,N,Tarteel-io,16,Y
113,The Routing Company,https://theroutingcompany.com/,N,theroutingcompany,15,Y
114,Deepnote,https://www.deepnote.com/,N,deepnote,15,Y
115,Riley,http://riley.ai,N,rileyai,15,Y
116,Source Medium,https://www.sourcemedium.com,N,SourceMedium,15,N
117,Merlin,https://www.merlin.tech,N,NVIDIA-Merlin,15,N
118,CollectiWise,https://www.collectiwise.com,N,CollectiWise,14,N
119,Orbiit,https://orbiit.ai,N,Orbiit,14,N
120,Bodo.ai,https://bodo.ai/,N,Bodo-inc,14,N
121,Sosivio,https://sosiv.io/,N,Sosivio,14,N
122,xaana.ai,https://xaana.ai,N,xaana,14,Y
123,CoCoPIE,https://www.cocopie.ai/,N,CoCoPIE-Group,14,Y
124,Freedom Robotics,http://www.freedomrobotics.com,N,freedomrobotics,13,N
125,SetSail,https://www.setsail.co,N,setsailco,13,N
126,CKM Analytix,https://www.ckmanalytix.com,N,ckmanalytix,13,N
127,XL8,https://XL8.ai,N,xl8-ai,13,N
